"id","title","author","url","status","open_time","close_time","reviewers"
"1","Run each test in its own <iframe>","benjamn","https://github.com/facebook/react/pull/1","Merged","29/5/2013 20:20:53",,"[]"
"2","Fix to work fiber-debugger","koba04","https://github.com/facebook/react/pull/10000","Merged","19/6/2017 06:39:16",,"[]"
"3","Remove further shims from ReactDOM FBEntry","trueadm","https://github.com/facebook/react/pull/10004","Closed","19/6/2017 13:23:35",,"[""gaearon""]"
"5","Update flow to 0.48","acdlite","https://github.com/facebook/react/pull/10006","Merged","19/6/2017 18:42:26",,"[""sebmarkbage"", ""iamdustan"", ""sophiebits"", ""bvaughn"", ""gaearon"", ""trueadm""]"
"6","Remove more isomorphic www shims","gaearon","https://github.com/facebook/react/pull/10007","Merged","19/6/2017 19:13:08",,"[]"
"8","Remove progressed work","acdlite","https://github.com/facebook/react/pull/10008","Merged","19/6/2017 23:29:37",,"[""gaearon"", ""sebmarkbage""]"
"9","Add documentation about React.renderComponent","kmeht","https://github.com/facebook/react/pull/1001","Merged","31/1/2014 01:15:56",,"[]"
"10","move augmentClass definition above SyntheticEvent Proxy replacement","walrusfruitcake","https://github.com/facebook/react/pull/10011","Merged","20/6/2017 06:22:51",,"[]"
"11","Fix scheduler control flow","acdlite","https://github.com/facebook/react/pull/10015","Merged","20/6/2017 23:14:43",,"[""sebmarkbage"", ""gaearon"", ""bvaughn""]"
"12","Remove ""unstable"" warning from ReactDOM","gaearon","https://github.com/facebook/react/pull/10017","Merged","21/6/2017 17:28:16",,"[""sophiebits""]"
"13","Remove unused www shims","gaearon","https://github.com/facebook/react/pull/10018","Merged","21/6/2017 18:09:19",,"[""sophiebits""]"
"14","Remove Stack-only www shim code","gaearon","https://github.com/facebook/react/pull/10019","Merged","21/6/2017 20:34:24",,"[""sophiebits""]"
"15","Switched from browserify to pure-cjs builder","RReverser","https://github.com/facebook/react/pull/1002","Merged","31/1/2014 16:45:56",,"[]"
"16","Add ReactDOMNodeStream, adding streaming rendering.","aickin","https://github.com/facebook/react/pull/10024","Merged","22/6/2017 16:56:09",,"[""razh"", ""gaearon"", ""yoshuawuyts"", ""aweary"", ""sebmarkbage"", ""tomocchino""]"
"17","Creating element with ref in constructor does not throw error in dev mode (#9635)","iansu","https://github.com/facebook/react/pull/10025","Merged","22/6/2017 21:12:19",,"[""gaearon""]"
"18","Warn When The HTML Mismatches in DEV","sebmarkbage","https://github.com/facebook/react/pull/10026","Merged","22/6/2017 22:42:49",,"[""nhunzaker"", ""bmeurer"", ""marvinhagemeister"", ""acdlite"", ""aickin"", ""gaearon"", ""sophiebits""]"
"19","Documentation: ReactDOMServer is an ""object"", not a ""class"".","aickin","https://github.com/facebook/react/pull/10027","Merged","23/6/2017 03:37:32",,"[]"
"20","Exclude src/node_modules from .gitignore.","aickin","https://github.com/facebook/react/pull/10028","Merged","23/6/2017 04:19:04",,"[""sophiebits""]"
